,National Highways,OSMRI,States,length,routes,National Highway URLS,OSMRI_URL
103,National Highway 530 (India),3226393,Uttar Pradesh,66 km (41 mi),"(NH24) NH30 near Bareily, NH9 near Rampur",https://en.wikipedia.org/wiki/National_Highway_530_(India),http://openstreetmap.org/browse/relation/3226393
104,National Highway 230 (India),3266623,Uttar Pradesh,17 km (11 mi),"(NH24A) NH30 near Bakshi-ka-Talab, Chenhat, junction with NH27 / NH731 / NH30 / NH27, NH30 near Bakshi-ka-Talab",https://en.wikipedia.org/wiki/National_Highway_230_(India),http://openstreetmap.org/browse/relation/3266623
105,National Highway 31 (India),3226439,Uttar Pradesh,968 km (601 mi),"(NH232A) NH27 near Unnao, (NH232) Lalganj, (NH231) Raebareli, Salon, Pratapgarh, Machhlishahr, (NH56) Jaunpur, (NH29) Varanasi, (NH19) Ghazipur, Ballia, Chhapra, (NH30) Hajipur, (NH31) Bakhtiyarpur, Mokama, Begusarai, Khagari, Bihpur, Kora, Katihar, Harishchanderpur, NH12 near Pandua",https://en.wikipedia.org/wiki/National_Highway_31_(India),http://openstreetmap.org/browse/relation/3226439
106,National Highway 131 (India),3259618,Bihar,132 km (82 mi),"(NH106) NH31 near Bihpur, Kishanganj, Madhepura, Birpur (border)",https://en.wikipedia.org/wiki/National_Highway_131_(India),http://openstreetmap.org/browse/relation/3259618
107,National Highway 231 (India),3226776,Bihar,196 km (122 mi),"(NH107) NH31 near Maheshkund, Sonbarsa Raj, Simri Bakhtiyarpur, Saharsa, Madhepura, Sarsi, (NH31) Purnia, NH31 near Kora",https://en.wikipedia.org/wiki/National_Highway_231_(India),http://openstreetmap.org/browse/relation/3226776
108,National Highway 331 (India),3227144,Bihar,65 km (40 mi),"(NH101) NH31 near Chhapra, Baniapur, NH27 near Muhumadpur",https://en.wikipedia.org/wiki/National_Highway_331_(India),http://openstreetmap.org/browse/relation/3227144
109,National Highway 431 (India),3227188,Bihar,70 km (43 mi),"(NH30A) NH31 near Phatuha, Chandi, Harnaut, NH31 near Barh",https://en.wikipedia.org/wiki/National_Highway_431_(India),http://openstreetmap.org/browse/relation/3227188
110,National Highway 531 (India),3227193,Bihar,93 km (58 mi),"(NH85) NH31 near Chhapra, Siwan, NH27 near Gopalganj",https://en.wikipedia.org/wiki/National_Highway_531_(India),http://openstreetmap.org/browse/relation/3227193
111,National Highway 731 (India),3227200,Uttar Pradesh,221 km (137 mi),"(NH56) NH31 near Jaunpur, Sultanpur, NH27 near Lucknow",https://en.wikipedia.org/wiki/National_Highway_731_(India),http://openstreetmap.org/browse/relation/3227200
112,National Highway 32 (India),3227344,Tamil Nadu,314 km (195 mi),"(NH45) NH48 near Chennai, Chengalpattu, (NH66) Tindivanam, (NH45A) Puducherry, Cuddalore, Chidambaram, Karaikal, (Puducherry), NH83 near Nagapatinam",https://en.wikipedia.org/wiki/National_Highway_32_(India),http://openstreetmap.org/browse/relation/3227344
113,National Highway 132 (India),3227797,Tamil Nadu,37 km (23 mi),"(NH45) NH32 near Tindivanam, NH38 near Viluppuram",https://en.wikipedia.org/wiki/National_Highway_132_(India),http://openstreetmap.org/browse/relation/3227797
114,National Highway 332 (India),3227811,Tamil Nadu,38 km (24 mi),"(NH45A) NH32 near Puducherry, NH38 near Viluppuram",https://en.wikipedia.org/wiki/National_Highway_332_(India),http://openstreetmap.org/browse/relation/3227811
115,National Highway 33 (India),3228059,Bihar,443 km (275 mi),"(NH110) NH139 near Arwal, Jahanabad, Bandhuganj, Ekangarsarai, (NH82) Biharsharif, (NH80) Mokama, Luckeesarai, Munger, Bhagalpur, Kahalgaon, Sahibganj, Rajmahal, Barharwa, NH12 near Farakka",https://en.wikipedia.org/wiki/National_Highway_33_(India),http://openstreetmap.org/browse/relation/3228059
116,National Highway 34 (India),3228564,Uttarakhand,"1,426 km (886 mi)","(NH108) Gangotri Dham, Bhatwari, Uttarkashi, (NH94) Dharasu, nearTerhi, Ampata, (NH58) Rishikesh, (NH74) Haridwar, (NH119) Najibabad, Bijnore, (NH58) Meerut, (NH91) Ghaziabad, Bulandshahr, Aligarh, Etah, Kannauj, (NH86) Kanpur, Hamirpur, Mahoba, Chattarpur, (NH12A) Hirapur, Damoh, (NH7) Jabalpur, NH44 near Lakhnadon",https://en.wikipedia.org/wiki/National_Highway_34_(India),http://openstreetmap.org/browse/relation/3228564
117,National Highway 134 (India),3228717,Uttarakhand,94 km (58 mi),"(NH94) NH34 near Dharasu, Kuthnaur, Yamnotri",https://en.wikipedia.org/wiki/National_Highway_134_(India),http://openstreetmap.org/browse/relation/3228717
118,National Highway 334 (India),3228724,Uttarakhand,207 km (129 mi),"(NH58) NH34 near Haridwar, Roorkee, Muzaffarnagar, (NH235) Meerut, Hapur, NH34 near Bulandshar",https://en.wikipedia.org/wiki/National_Highway_334_(India),http://openstreetmap.org/browse/relation/3228724
119,National Highway 534 (India),3228946,Uttarakhand,151 km (94 mi),"(NH119) NH34 near Najibabad, Kotdwar, Satpauli, Bubakhal",https://en.wikipedia.org/wiki/National_Highway_534_(India),http://openstreetmap.org/browse/relation/3228946
120,National Highway 734 (India),3228969,Uttar Pradesh,108 km (67 mi),"(NH74) NH34 near Najibabad, Nagina, NH309 near Kashipur",https://en.wikipedia.org/wiki/National_Highway_734_(India),http://openstreetmap.org/browse/relation/3228969
121,National Highway 934 (India),3229083,Madhya Pradesh,156 km (97 mi),"(NH86) NH34 near Hirapur, Banda, (NH26A) Sagar, Jeruwakhera, Khurai, Bina",https://en.wikipedia.org/wiki/National_Highway_934_(India),http://openstreetmap.org/browse/relation/3229083
122,National Highway 234 (India),3229153,Uttar Pradesh,156 km (97 mi),"(NH91A) NH34 near Kannauj, Bela, (NH92) Etawah, Kishni, NH34 near Bhongaon",https://en.wikipedia.org/wiki/National_Highway_234_(India),http://openstreetmap.org/browse/relation/3229153
123,National Highway 35 (India),3229508,Uttar Pradesh,346 km (215 mi),"(NH76) NH34 near KaBrai, Banda, Karwi, Mau, Allahabad, (NH7) Mirzapur, NH19 near Varanasi",https://en.wikipedia.org/wiki/National_Highway_35_(India),http://openstreetmap.org/browse/relation/3229508
124,National Highway 135 (India),3229736,Madhya Pradesh,130 km (81 mi),"(NH7) NH35 near Mirzapur, Lalganj, Drummondganj, Mauganj, NH30 near Mangawan",https://en.wikipedia.org/wiki/National_Highway_135_(India),http://openstreetmap.org/browse/relation/3229736
125,National Highway 335 (India),3229784,Madhya Pradesh,110 km (68 mi),"(NH232) NH35 near Banda, Fathepur, NH31 near Lalganj",https://en.wikipedia.org/wiki/National_Highway_335_(India),http://openstreetmap.org/browse/relation/3229784
126,National Highway 36 (India),3229793,Tamil Nadu,334 km (208 mi),"(NH45C) NH132 near Vikravandi, Panruti Vadulur, Neyveli-Township, Sethiathop, Kumbakonam, (NH226) Thanjavur, Gandarvakottai, (NH210) Pudukottai, (NH226) Tirumayam, Kilasevalpatti, Tirupattur, Madagupatti, Shivganga, NH87 near Manamadurai",https://en.wikipedia.org/wiki/National_Highway_36_(India),http://openstreetmap.org/browse/relation/3229793
127,National Highway 136 (India),3230497,Tamil Nadu,68 km (42 mi),"(NH226) NH36 near Thanjavur, Thiruvaiyaru, Kunnam, Perali, NH38 near Perambalur",https://en.wikipedia.org/wiki/National_Highway_136_(India),http://openstreetmap.org/browse/relation/3230497
128,National Highway 336 (India),3230541,Tamil Nadu,52 km (32 mi),"(NH210) NH36 near Pudukkottai, Kiranur, NH83 near Tiruchirappalli",https://en.wikipedia.org/wiki/National_Highway_336_(India),http://openstreetmap.org/browse/relation/3230541
129,National Highway 536 (India),3230701,Tamil Nadu,109 km (68 mi),"(NH210) NH36 near Tirumayam, Devakottai, Tiruvadanai, NH87 near Ramanathapuram",https://en.wikipedia.org/wiki/National_Highway_536_(India),http://openstreetmap.org/browse/relation/3230701
130,National Highway 37 (India),3230787,Assam,313 km (194 mi),"(NH53) NH2 near Imphal, Jiribam, Jirighat, Lakhipur, Silchar, (NH44) Badarpur, Karimganj, border",https://en.wikipedia.org/wiki/National_Highway_37_(India),http://openstreetmap.org/browse/relation/3230787
131,National Highway 38 (India),3231116,Tamil Nadu,604 km (375 mi),"(NH234) NH75 near Vellore, Polur, Tiruvannamalai, (NH45) Viluppuram, Ulundurpettai, Perambalur, (NH45B) Tiruchchirappali, Tovarankurichchi, Melur, Madurai, Aruppukkottai, NH138 near Tuticorin Port",https://en.wikipedia.org/wiki/National_Highway_38_(India),http://openstreetmap.org/browse/relation/3231116
132,National Highway 138 (India),3231953,Tamil Nadu,54 km (34 mi),"(NH7A) NH38 near Tuticorin Port, NH44 near Palayankottai",https://en.wikipedia.org/wiki/National_Highway_138_(India),http://openstreetmap.org/browse/relation/3231953
133,National Highway 39 (India),3233217,Madhya Pradesh,869 km (540 mi),"(NH75) NH44 near Jhansi, Chhatarpur, Khajuraho, Panna, Satna, Rewa, Sidhi, Dudhinagar, Garhwa, Daltenganj, Latehar, Chandwa, NH20 near Ranchi",https://en.wikipedia.org/wiki/National_Highway_39_(India),http://openstreetmap.org/browse/relation/3233217
134,National Highway 139 (India),3234465,Bihar,236 km (147 mi),"(NH98) NH39 near Rajhara, Chhatarpur, Hariharganj, Aurangabad, Daudnagar, Arwal, Naubatpur, NH31 near Patna",https://en.wikipedia.org/wiki/National_Highway_139_(India),http://openstreetmap.org/browse/relation/3234465
135,National Highway 339 (India),3290989,Madhya Pradesh,34 km (21 mi),"NH39 near Nowgong, NH34 near Srinagar",https://en.wikipedia.org/wiki/National_Highway_339_(India),http://openstreetmap.org/browse/relation/3290989
136,National Highway 539 (India),3234483,Madhya Pradesh,173 km (107 mi),"(NH12A) NH39 near Jhansi, Pirthipur, Tikamgarh, NH934 near Shahgarh",https://en.wikipedia.org/wiki/National_Highway_539_(India),http://openstreetmap.org/browse/relation/3234483
137,National Highway 40 (India),3234491,Andhra Pradesh,420 km (260 mi),"(NH18) NH44 near Kurnool, Nandyal, Cuddapah, Pileru, Putalapattu, Chittoor, NH48 near Ranipettai",https://en.wikipedia.org/wiki/National_Highway_40_(India),http://openstreetmap.org/browse/relation/3234491
138,National Highway 140 (India),3234929,Andhra Pradesh,0 km (0 mi),"NH40 near Putalpattu, NH71 near Tirupati",https://en.wikipedia.org/wiki/National_Highway_140_(India),http://openstreetmap.org/browse/relation/3234929
139,National Highway 41 (India),3234951,Gujarat,290 km (180 mi),"(NH8A) NH41 near Samakhiyali, Gandhi Dham, Mandvi, Naliya, Narayan Sarovar",https://en.wikipedia.org/wiki/National_Highway_41_(India),http://openstreetmap.org/browse/relation/3234951
140,National Highway 141 (India),3234961,Gujarat,31 km (19 mi),"(NH8A) NH41 near Gandhi Dam, Kandla Port",https://en.wikipedia.org/wiki/National_Highway_141_(India),http://openstreetmap.org/browse/relation/3234961
141,National Highway 42 (India),3234973,Karnataka,337 km (209 mi),"(NH205) NH44 near Anantapur, Kadiri, (NH219) Madanapalli, Kuppam, NH44 near Krishnagiri",https://en.wikipedia.org/wiki/National_Highway_42_(India),http://openstreetmap.org/browse/relation/3234973
142,National Highway 43 (India),3235103,Madhya Pradesh,806 km (501 mi),"(NH78) NH30 near Katni, Umaria, Shahdol, Nagar, Ambikapur, Pathalgaon, Jashpurnagar, Chhattisgarh, (NH23) Gumla, (NH33) Ranchi, NH18 near Chandil",https://en.wikipedia.org/wiki/National_Highway_43_(India),http://openstreetmap.org/browse/relation/3235103
143,National Highway 143 (India),3235599,Jharkhand,247 km (153 mi),"(NH23) NH43 near Gumla, Palkot, Kolebira, Thethaitanagar, Jharkhand, Panposh, Rajamundra, NH49 near Barakot",https://en.wikipedia.org/wiki/National_Highway_143_(India),http://openstreetmap.org/browse/relation/3235599
144,National Highway 44 (India),3189954,Jammu and Kashmir,"3,745 km (2,327 mi)","(NH1A) Srinagar, Jammu, Pathankot, (NH1) Jalandar, Ludhiana, Ambala, Karnal, Panipat, (NH2) Delhi, Faridabad, Mathura, (NH3) Agra, (NH75) Gwalior, (NH26) Jhansi, (NH7) Lakhnadon, Nagpur, Adilabad, Hyderabad, Kurnool, Bengaluru, Salem, Madurai, Kanyakumari",https://en.wikipedia.org/wiki/National_Highway_44_(India),http://openstreetmap.org/browse/relation/3189954
145,National Highway 244 (India),3239209,Jammu and Kashmir,246 km (153 mi),"(NH1B) NH44 near Khanabal, Symthanpass, Kishtwar, Doda, NH44 near Batote",https://en.wikipedia.org/w/index.php?title=National_Highwy_244_(India)&action=edit&redlink=1,http://openstreetmap.org/browse/relation/3239209
146,National Highway 144 (India),3239340,Jammu and Kashmir,15 km (9.3 mi),"(NH1C) NH44 near Domel, Katra",https://en.wikipedia.org/wiki/National_Highway_144_(India),http://openstreetmap.org/browse/relation/3239340
147,National Highway 344 (India),3239360,Punjab,173 km (107 mi),"(NH72) NH44 near Ambala, (NH73) Dhanana, Saha, Yamunanagar, Saharanpur, NH334 near Roorkee",https://en.wikipedia.org/wiki/National_Highway_344_(India),http://openstreetmap.org/browse/relation/3239360
148,National Highway 544 (India),3239550,Kerala,332 km (206 mi),"(NH47) NH44 near Salem, Coimbatore, Palakkad, Thrissur, NH66 near Ernakulum",https://en.wikipedia.org/wiki/National_Highway_544_(India),http://openstreetmap.org/browse/relation/3239550
149,National Highway 744 (India),3239789,Kerala,232 km (144 mi),"(NH208) NH44 near Tirumangalum, Srivilliputtur, Rajapalaiyam, Tenkasi, Puliyur, Punalur, Kottarakara, Kundara, Kadappakada, NH66 Chinnakada near Kollam",https://en.wikipedia.org/wiki/National_Highway_744_(India),http://openstreetmap.org/browse/relation/3239789
150,National Highway 944 (India),3240283,Tamil Nadu,23 km (14 mi),"(NH47B) NH44 near Kavalkinaru, Aralvaymozhi, NH66 near Nagerkoil",https://en.wikipedia.org/wiki/National_Highway_944_(India),http://openstreetmap.org/browse/relation/3240283
151,National Highway 45 (India),3248199,Madhya Pradesh,280 km (170 mi),"(NH12) NH46 near Obaidullaganj, Bareli, Tendukheda, NH30 near Jabalpur",https://en.wikipedia.org/wiki/National_Highway_45_(India),http://openstreetmap.org/browse/relation/3248199
152,National Highway 46 (India),3248209,Madhya Pradesh,604 km (375 mi),"(NH3) NH44 near Gwalior, Shivpuri, Guna, (NH12) Biora, Bhopal, (NH69) Obeddullaganj, Hoshangabad, NH47 near Betul",https://en.wikipedia.org/wiki/National_Highway_46_(India),http://openstreetmap.org/browse/relation/3248209
153,National Highway 146 (India),3248220,Madhya Pradesh,188 km (117 mi),"(NH86) NH46 near Bhopal, Vidisha, NH44 near Sagar",https://en.wikipedia.org/wiki/National_Highway_146_(India),http://openstreetmap.org/browse/relation/3248220
154,National Highway 47 (India),3248235,Gujarat,"1,080 km (670 mi)","(NH8A) NH27 near Bamanbore, Limbdi, (NH59) Ahmedabad, Godhra, Dahod, (NH59A) Indore, (NH69) Betul, Saoner, NH44 near Nagpur",https://en.wikipedia.org/wiki/National_Highway_47_(India),http://openstreetmap.org/browse/relation/3248235
155,National Highway 147 (India),3248297,Gujarat,50 km (31 mi),"(NH8C) NH47 near Sakhej, Gandhinagar, NH48 near Chilloda",https://en.wikipedia.org/wiki/National_Highway_147_(India),http://openstreetmap.org/browse/relation/3248297
156,National Highway 48 (India),3188469,Delhi,"2,807 km (1,744 mi)","(NH8) Delhi, Bawal, Kotpuli, Jaipur, (NH79A) Kishangarh, (NH79) Nasirabad, (NH76) Chittorgarh, (NH8) Udaipur, Ahmedabad, Vadodara, Ankleshwar, (NH3) Mumbai, (NH4) Thane, Pune, Satara, Kolhapur, Belgam, Chitradurga, (NH7) Bengaluru, (NH46) Krishnagiri, (NH4) Vellore, Chennai",https://en.wikipedia.org/wiki/National_Highway_48_(India),http://openstreetmap.org/browse/relation/3188469
157,National Highway 148 (India),3189844,Rajasthan,105 km (65 mi),"(NH11A) NH48 near Manoharpur, Dausa, NH23 near Lalsot",https://en.wikipedia.org/wiki/National_Highway_148_(India),http://openstreetmap.org/browse/relation/3189844
158,National Highway 248 (India),3240893,Rajasthan,53 km (33 mi),(NH11C) old NH8 through Jaipur from km220 to km 273.50,https://en.wikipedia.org/wiki/National_Highway_248_(India),http://openstreetmap.org/browse/relation/3240893
159,National Highway 348 (India),3240902,Maharashtra,28 km (17 mi),"(NH4B) NH48 near Palspe, Jawaharlal Nehru Port",https://en.wikipedia.org/wiki/National_Highway_348_(India),http://openstreetmap.org/browse/relation/3240902
160,National Highway 448 (India),3240909,Rajasthan,57 km (35 mi),"(NH8) NH48 near Kishangarh, (NH79) Ajmer, NH48 near Nasirabad",https://en.wikipedia.org/wiki/National_Highway_448_(India),http://openstreetmap.org/browse/relation/3240909
161,National Highway 548 (India),3240924,Maharashtra,5 km (3.1 mi),"NH66 near Kalamboi, NH348 at km 16.687",https://en.wikipedia.org/wiki/National_Highway_548_(India),http://openstreetmap.org/browse/relation/3240924
162,National Highway 648 (India),3240937,Karnataka,143 km (89 mi),"(NH207) NH48 near Nelamangla, Dodaballapur, Devenhalli (NH44), Sarajpur, Bagalur, NH48 near Hosur",https://en.wikipedia.org/wiki/National_Highway_648_(India),http://openstreetmap.org/browse/relation/3240937
163,National Highway 748 (India),3240977,Karnataka,160 km (99 mi),"(NH4A) NH48 near Belgaum, Anmod, Ponda, NH66 near Panaji",https://en.wikipedia.org/wiki/National_Highway_748_(India),http://openstreetmap.org/browse/relation/3240977
164,National Highway 948 (India),3241154,Karnataka,317 km (197 mi),"(NH209) NH48 near Bengaluru, Kanakapura, Malvalli, Kollagal, Chamarajnagar, NH544 near Coimbatore",https://en.wikipedia.org/wiki/National_Highway_948_(India),http://openstreetmap.org/browse/relation/3241154
165,National Highway 49 (India),3241993,Chhattishgarh,706 km (439 mi),"(NH200) NH130 near Bilaspur, Pamgarh, Raigarh, Kanaktora, Jharsuguda, Kuchinda, Pravasuni, (NH6) Deogarh, Barakot, Palalaharba, KenduJhargarh, Bangriposchi, Baharagora, NH16 near Kharagpur",https://en.wikipedia.org/wiki/National_Highway_49_(India),http://openstreetmap.org/browse/relation/3241993
166,National Highway 149 (India),3287546,Odisha,,"(NH23) NH49 near Palalaharha, Talcher, NH55 near Nuahata",https://en.wikipedia.org/wiki/National_Highway_149_(India),http://openstreetmap.org/browse/relation/3287546
167,National Highway 50 (India),3242033,Karnataka,544 km (338 mi),"(NH218) NH65 near Homanabad, Gulbarga, Jevargi, (NH13) Bijapur, Hospet, NH48 near Lakshraisagara",https://en.wikipedia.org/wiki/National_Highway_50_(India),http://openstreetmap.org/browse/relation/3242033
168,National Highway 150 (India),3461026,Karnataka,137 km (85 mi),"NH50 near Gulbarga, Yadagiri, NH167 near Devasuguru",https://en.wikipedia.org/wiki/National_Highway_150_(India),http://openstreetmap.org/browse/relation/3461026
169,National Highway 150A (India),3790917,Karnataka,618 km (384 mi),"N50 near Jewargi, Siruguppa, Bellary, Hiriyur, Chikkanayakanahalli, Nagamangala, Srirangapatna, Mysore, Nanjangud, NH-948 near Chamarajnagar",https://en.wikipedia.org/wiki/National_Highway_150A_(India),http://openstreetmap.org/browse/relation/3790917
170,National Highway 150E (India),3790976,Karnataka,105 km (65 mi),"NH-50 near Gulbarga,Chowdapur, Afzalpur, NH-52 near Solapur",https://en.wikipedia.org/wiki/National_Highway_150E_(India),http://openstreetmap.org/browse/relation/3790976
171,National Highway 51 (India),3242613,Gujarat,522 km (324 mi),"(NH8E) Dwarka, Bhogat, Porbandar, Navibander, Shil, Mangrol, Somnath, Kodinar, Una, Mahuva, Talaja, Bhavnagar",https://en.wikipedia.org/wiki/National_Highway_51_(India),http://openstreetmap.org/browse/relation/3242613
172,National Highway 151 (India),3242849,Gujarat,99 km (62 mi),"(NH8D) NH51 near Gadu, Vanthali Junagadh, NH27 near Jetpur",https://en.wikipedia.org/wiki/National_Highway_151_(India),http://openstreetmap.org/browse/relation/3242849
173,National Highway 52 (India),3188321,Punjab,"2,317 km (1,440 mi)","(NH71) Sangrur, (NH65) Narwana, Hisar, (NH11) Fatehpur, (NH12) Jaipur, Tonk, Kota, Aklera, Rajgarh, (NH3) Biora, Dewas, Indore, Sendhwa, (NH211) Dhule, Aurangabad, Beed, Osmanabad, (NH13) Solapur, (NH218) Bijapur, (NH63) Hubli, Ankola",https://en.wikipedia.org/wiki/National_Highway_52_(India),http://openstreetmap.org/browse/relation/3188321
174,National Highway 152 (India),3244074,Haryana,155 km (96 mi),"(NH65) NH52 near Narwana, Kaithal, (NH22) Ambala, NH7 near Panchkula",https://en.wikipedia.org/wiki/National_Highway_152_(India),http://openstreetmap.org/browse/relation/3244074
175,National Highway 352 (India),3244097,Haryana,218 km (135 mi),"(NH71) NH52 near Narwana, Jind, Rohtak, Jhajjar, Rewari, NH48 near Bawal",https://en.wikipedia.org/wiki/National_Highway_352_(India),http://openstreetmap.org/browse/relation/3244097
176,National Highway 552 (India),3189847,Rajasthan,75 km (47 mi),"(NH116) NH52 near Tonk, Uniara, Sawai Madhopur",https://en.wikipedia.org/wiki/National_Highway_552_(India),http://openstreetmap.org/browse/relation/3189847
177,National Highway 752 (India),3189852,Rajasthan,92 km (57 mi),"(NH90) Aklera, Atru, Baran",https://en.wikipedia.org/wiki/National_Highway_752_(India),http://openstreetmap.org/browse/relation/3189852
178,National Highway 53 (India),3245213,Gujarat,"1,781 km (1,107 mi)","(NH6) Hajira, Surat, Uchchhal, Dhule, Jalgaon, Akola, Amravati, Nagpur, Bhandara, Deori, Rajnandgaon, Durg, Raipur, Arang, Saraipali, Bargarh, Sambalpur, (NH200) Deograh, Dubri, Chandhikhol, (NH5A) Haridaspur, Paradip Port",https://en.wikipedia.org/wiki/National_Highway_53_(India),http://openstreetmap.org/browse/relation/3245213
179,National Highway 153 (India),3246845,Chhattisgarh,39 km (24 mi),"(NH216) NH53 near Saraipali, NH49 near Sarangarh",https://en.wikipedia.org/wiki/National_Highway_153_(India),http://openstreetmap.org/browse/relation/3246845
180,National Highway 353 (India),3246854,Chhattisgarh,146 km (91 mi),"(NH217) NH53 near Ghorai, Mahasamund, Bagbahra, Nauparha, NH59 near Khariar",https://en.wikipedia.org/wiki/National_Highway_353_(India),http://openstreetmap.org/browse/relation/3246854
181,National Highway 54 (India),3209621,Punjab,340 km (210 mi),"(NH15) Panthankot, Gurdaspur, Amritsar, Zira, Faridkot, (NH64) Bathinda, Bikaner, Sikar, near NH8 Jaipur",https://en.wikipedia.org/wiki/National_Highway_54_(India),http://openstreetmap.org/browse/relation/3209621
182,National Highway 154 (India),3209668,Punjab,279 km (173 mi),"(NH20) NH54 near Pathankot, Nurpur, Palampur, Jogindarnagar, (NH21) Mandi, Sundar Nagar, Ghaghas, Bilaspur, NH205 near Nauni",https://en.wikipedia.org/wiki/National_Highway_154_(India),http://openstreetmap.org/browse/relation/3209668
183,National Highway 55 (India),3247298,Odisha,264 km (164 mi),"(NH42) NH53 near Sambalpur, Redhakhol, Angul, Nuahata, Dhenkanal, NH16 near Cuttack",https://en.wikipedia.org/wiki/National_Highway_55_(India),http://openstreetmap.org/browse/relation/3247298
184,National Highway 56 (India),3247318,Rajasthan,290 km (180 mi),"(NH79) NH27 near Chittaurgarh, (NH113) Nimbahera, Pratapgarh, Banswara, Jhalod, Umbi, NH47 near Dahod",https://en.wikipedia.org/wiki/National_Highway_56_(India),http://openstreetmap.org/browse/relation/3247318
185,National Highway 156 (India),3247350,Rajasthan,10 km (6.2 mi),"(NH79) NH56 near Nimbahera, Border to MP",https://en.wikipedia.org/wiki/National_Highway_156_(India),http://openstreetmap.org/browse/relation/3247350
186,National Highway 57 (India),3247355,Odisha,297 km (185 mi),"(NH224) NH26 near Balangir, Sonapur, Bauda, Dashapalla, Nayagarh, NH16 near Khordha",https://en.wikipedia.org/wiki/National_Highway_57_(India),http://openstreetmap.org/browse/relation/3247355
187,National Highway 58 (India),3189779,Rajasthan,620 km (390 mi),"(NH65) Fatehpur,Ladnun, (NH89) Nagaur, Merta City, (NH8) Ajmer, Bayawar, Devgarh, Udaipur",https://en.wikipedia.org/wiki/National_Highway_58_(India),http://openstreetmap.org/browse/relation/3189779
188,National Highway 59 (India),3247434,Odisha,352 km (219 mi),"(NH217) NH353 near Khariar, Titlagrah, Lankagarh, Baligurha, Surada, Asika, NH16 near Brahmapur",https://en.wikipedia.org/wiki/National_Highway_59_(India),http://openstreetmap.org/browse/relation/3247434
189,National Highway 60 (India),3247531,Maharashtra,395 km (245 mi),"(NH3) NH53 near Dhule, (NH50) Nashik, Sangammer, Ale, NH48 near Pune",https://en.wikipedia.org/wiki/National_Highway_60_(India),http://openstreetmap.org/browse/relation/3247531
190,National Highway 160 (India),3248693,Maharashtra,149 km (93 mi),"(NH3) NH60 near Nasik, NH48 near Thane",https://en.wikipedia.org/wiki/National_Highway_160_(India),http://openstreetmap.org/browse/relation/3248693
191,National Highway 61 (India),3248429,Maharashtra,652 km (405 mi),"(NH222) NH160 near Bhiwandi, Kalyan, Murbad, Ale, Ahmadnagar, Tisgaon, Pathardi, Yeli, Kharwandi, Padalshingi, Majalgaon, Parbhani, Nanded, Bhokar, NH44 near Nirmal",https://en.wikipedia.org/wiki/National_Highway_61_(India),http://openstreetmap.org/browse/relation/3248429
192,National Highway 62 (India),3188295,Punjab,748 km (465 mi),"(NH15) Abohar, Ganganagar, Suratgarh, Lunkaransar, (NH89) Bikaner, (NH65) Nagaur, Jodhpur, (NH14) Pali, Sirohi, Pindwara",https://en.wikipedia.org/wiki/National_Highway_62_(India),http://openstreetmap.org/browse/relation/3188295
193,National Highway 162 (India),3189874,Rajasthan,89 km (55 mi),"(NH14) Pali, Bar",https://en.wikipedia.org/wiki/National_Highway_162_(India),http://openstreetmap.org/browse/relation/3189874
194,National Highway 63 (India),3249230,Telangana,560 km (350 mi),"(NH16) Nizamabad, Metpalli, Mancheral, Chinnur, Kotapad, NH26 near Boriguma",https://en.wikipedia.org/wiki/National_Highway_63_(India),http://openstreetmap.org/browse/relation/3249230
195,National Highway 163 (India),3249370,Telangana,344 km (214 mi),"(NH202) NH63 near Bhopalpatnam, Venkatapuram, Warangal, NH44 near Hyderabad",https://en.wikipedia.org/wiki/National_Highway_163_(India),http://openstreetmap.org/browse/relation/3249370
196,National Highway 64 (India),3250238,Gujarat,332 km (206 mi),"(NH8) NH48 near Ahmedabad, (NH228) Anand, Dandi",https://en.wikipedia.org/wiki/National_Highway_64_(India),http://openstreetmap.org/browse/relation/3250238
197,National Highway 65 (India),3250367,Maharashtra,926 km (575 mi),"(NH9) NH48 near Pune, Indapur, Solapur, Umarga, Homnabad, Hyderabad,Suryapet,Vijayawada, Vuyyuru, Pamarru, NH216 near Machilipatnam",https://en.wikipedia.org/wiki/National_Highway_65_(India),http://openstreetmap.org/browse/relation/3250367
198,National Highway 165 (India),3251439,Andhra Pradesh,107 km (66 mi),"(NH214) NH65 near Pamarru, Mandavalli, Pallevada, Digamarru, NH216 near Narsapur",https://en.wikipedia.org/wiki/National_Highway_165_(India),http://openstreetmap.org/browse/relation/3251439
199,National Highway 66 (India),3251490,Maharashtra,"1,593 km (990 mi)","(NH17) NH48 near Panvel, Indapur, Mahad, Rajapur, Kudal, Panaji, Margao, Karwar, Honavar, Udupi, Mangalore, Kasaragod, Kannur, Kozhikode, Ponnani, Guruvayoor, Edappalli, (NH47) Ernakulam, Alappuzha, Kollam, Thiruvananthapuram, NH44 near Kanyakumari",https://en.wikipedia.org/wiki/National_Highway_66_(India),http://openstreetmap.org/browse/relation/3251490
200,National Highway 166 (India),3251991,Maharashtra,149 km (93 mi),"(NH204) Ratnagiri, Tink, Pali, NH48 near Kolhapur",https://en.wikipedia.org/wiki/National_Highway_166_(India),http://openstreetmap.org/browse/relation/3251991
